"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","25V 220uF","","","","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm",""
"C2","1","50V 220nF","","","","Capacitor_THT:C_Disc_D11.0mm_W5.0mm_P5.00mm",""
"D1,D2","2","LED","","","","LED_THT:LED_D5.0mm_FlatTop",""
"D3","1","1N4007","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"J1,J2","2","Screw_Terminal_01x02","","","","TerminalBlock_RND:TerminalBlock_RND_205-00232_1x02_P5.08mm_Horizontal",""
"J3","1","Conn_01x08_Pin","","","","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical",""
"K1","1","SANYOU_SRD_Form_C","","","","Relay_THT:Relay_SPDT_SANYOU_SRD_Series_Form_C","http://www.sanyourelay.ca/public/products/pdf/SRD.pdf"
"Q1","1","PN2222A","","","","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/PN2222-D.PDF"
"R1,R2,R5","3","470","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R3","1","330","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R4","1","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"SW1","1","SW_Push_LED","","","","Button_12mm_LED_THT:SW_PUSH-12mm",""
"U2","1","ESP32-C3_SUPERMINI_TH","","","","ESP32-C3_SUPERMINI_TH:MODULE_ESP32-C3_SUPERMINI_TH",""
